Rank,Name,Vocation,World,Level,Points,Category
1,Alpha Charlyne,Exalted Monk,Gentebra,707,"1,426",Achievements
2,Firdeso,Master Sorcerer,Secura,1175,"1,407",Achievements
3,Garoto Do Sorriso,Elite Knight,Yonabra,779,"1,404",Achievements
4,Madroox,Elite Knight,Oceanis,816,"1,401",Achievements
5,Natth Morza,Elite Knight,Secura,885,"1,391",Achievements
6,Archangel Bonetto,Elite Knight,Gentebra,1048,"1,384",Achievements
7,Gznho,Royal Paladin,Yonabra,984,"1,380",Achievements
8,Alpha Charly,Royal Paladin,Gentebra,2039,"1,373",Achievements
9,Horon Aoldas,Master Sorcerer,Vunira,1027,"1,370",Achievements
9,Mathias Bynens,Royal Paladin,Vunira,1430,"1,370",Achievements
11,Lord Strikee,Elder Druid,Harmonia,1372,"1,369",Achievements
12,Annie Arelluf,Elite Knight,Yonabra,861,"1,365",Achievements
13,Lana Snow,Elder Druid,Lobera,1175,"1,362",Achievements
14,Chronus Legacy,Elite Knight,Celebra,1632,"1,359",Achievements
14,Fully,Royal Paladin,Secura,1122,"1,359",Achievements
16,Celso,Elder Druid,Nevia,1659,"1,357",Achievements
17,Craig the knight,Elite Knight,Lobera,934,"1,356",Achievements
18,Axy,Elder Druid,Yonabra,1380,"1,355",Achievements
18,Dreams,Elder Druid,Yonabra,1364,"1,355",Achievements
18,Fi na,Elite Knight,Gentebra,1662,"1,355",Achievements
18,Niquit,Master Sorcerer,Antica,1728,"1,355",Achievements
22,Ezudux,Royal Paladin,Gentebra,2039,"1,353",Achievements
22,Marcus Eon,Elite Knight,Thyria,916,"1,353",Achievements
24,Niix Insanity,Elite Knight,Jadebra,939,"1,352",Achievements
24,Torkel Ironman,Elite Knight,Issobra,747,"1,352",Achievements
26,Zocsik,Elder Druid,Wintera,1129,"1,351",Achievements
27,Kaos Sharis,Master Sorcerer,Astera,526,"1,350",Achievements
28,Danan the shihan,Elite Knight,Quintera,1673,"1,349",Achievements
29,Chicofatman,Elder Druid,Nevia,1408,"1,348",Achievements
29,Fok,Royal Paladin,Secura,1544,"1,348",Achievements
31,Caaok,Royal Paladin,Belobra,2117,"1,347",Achievements
31,Sibon Faur,Elite Knight,Vunira,1190,"1,347",Achievements
31,Yunski,Royal Paladin,Secura,2142,"1,347",Achievements
34,Flanbers Penn,Royal Paladin,Yonabra,1860,"1,344",Achievements
34,Machinbear,Elite Knight,Celebra,1137,"1,344",Achievements
36,Dcko,Master Sorcerer,Secura,942,"1,342",Achievements
37,Alex Froggy,Royal Paladin,Vunira,1506,"1,341",Achievements
37,Enjoy,Elder Druid,Monstera,1128,"1,341",Achievements
37,Meepoww,Elite Knight,Serdebra,232,"1,341",Achievements
37,Oswaldo Toxico,Royal Paladin,Kalibra,2061,"1,341",Achievements
41,Astary,Elite Knight,Collabra,829,"1,337",Achievements
41,Rado of Elera,Elite Knight,Vunira,942,"1,337",Achievements
43,Krueger,Elite Knight,Kalibra,1450,"1,336",Achievements
44,Mente Brilhante,Royal Paladin,Gentebra,889,"1,335",Achievements
44,Special Frank,Elder Druid,Serdebra,1528,"1,335",Achievements
44,Zalina Myth,Elite Knight,Vunira,1215,"1,335",Achievements
47,Enjoys,Master Sorcerer,Monstera,911,"1,334",Achievements
47,Khena,Master Sorcerer,Havera,1040,"1,334",Achievements
47,Melzinho de Feira,Royal Paladin,Yonabra,635,"1,334",Achievements
50,Old Noe,Royal Paladin,Secura,1961,"1,333",Achievements
51,Aliiny,Elite Knight,Lobera,859,"1,332",Achievements
51,Cavots,Elite Knight,Ustebra,1025,"1,332",Achievements
51,Matt Paladiin,Royal Paladin,Gentebra,1385,"1,332",Achievements
51,Stugaan,Elite Knight,Monstera,1382,"1,332",Achievements
51,Thunderfist,Elite Knight,Peloria,1356,"1,332",Achievements
51,Tio Cidinho,Royal Paladin,Venebra,875,"1,332",Achievements
57,Lord Marshals,Royal Paladin,Peloria,1629,"1,331",Achievements
58,Machado Purosangue,Elite Knight,Kalibra,1907,"1,330",Achievements
58,Magico Mago,Master Sorcerer,Nefera,1383,"1,330",Achievements
58,Teddy Gangsta,Elder Druid,Yovera,664,"1,330",Achievements
61,Ki Naitao Olim,Elite Knight,Belobra,2479,"1,329",Achievements
62,Fus Evil,Elite Knight,Kalibra,885,"1,328",Achievements
62,Guii,Elite Knight,Celebra,2419,"1,328",Achievements
62,Hero Reis,Royal Paladin,Astera,2353,"1,328",Achievements
62,The Sauron,Elite Knight,Serdebra,1255,"1,328",Achievements
62,Tyroks,Elder Druid,Premia,1073,"1,328",Achievements
67,Rayn Shus,Elite Knight,Celebra,1020,"1,327",Achievements
68,Silent Kishi,Elite Knight,Yovera,1264,"1,326",Achievements
69,Aluxi,Master Sorcerer,Kalibra,1779,"1,325",Achievements
69,Shidden,Royal Paladin,Gladibra,1300,"1,325",Achievements
71,Enduroman,Elite Knight,Harmonia,1240,"1,323",Achievements
72,Cornus Mass,Royal Paladin,Monza,767,"1,322",Achievements
72,Lady Tafuri,Elite Knight,Nefera,1844,"1,322",Achievements
72,Myrkz,Royal Paladin,Lobera,1530,"1,322",Achievements
72,Quis,Elite Knight,Premia,1152,"1,322",Achievements
72,Turyan,Royal Paladin,Descubra,1015,"1,322",Achievements
77,Quiet,Royal Paladin,Epoca,1136,"1,321",Achievements
78,Leifmaa,Master Sorcerer,Peloria,866,"1,320",Achievements
78,Zmuts,Master Sorcerer,Monza,1907,"1,320",Achievements
80,Ghost of Chimera,Royal Paladin,Solidera,1731,"1,319",Achievements
80,Issmahan,Elder Druid,Premia,1459,"1,319",Achievements
80,Khamir,Elder Druid,Harmonia,1028,"1,319",Achievements
83,Maya Zares,Elite Knight,Yonabra,651,"1,318",Achievements
84,Fouls,Royal Paladin,Yonabra,609,"1,317",Achievements
85,Neggich,Master Sorcerer,Havera,1494,"1,316",Achievements
85,Offf Liiineee,Elite Knight,Wintera,767,"1,316",Achievements
85,Uriel Simacek,Elite Knight,Kalibra,925,"1,316",Achievements
88,Ano Vix,Elder Druid,Monstera,1108,"1,315",Achievements
88,Cardinale Habby,Royal Paladin,Peloria,957,"1,315",Achievements
88,Libi,Elite Knight,Lobera,1308,"1,315",Achievements
91,Knight of Rafael,Elite Knight,Quelibra,1678,"1,314",Achievements
92,Leoxy Ousado,Elder Druid,Terribra,1549,"1,313",Achievements
92,Salsa Agridoce,Royal Paladin,Oceanis,1398,"1,313",Achievements
92,Tiroz,Elite Knight,Gentebra,880,"1,313",Achievements
95,Coy Doido,Royal Paladin,Belobra,1431,"1,312",Achievements
95,Edwarro,Elite Knight,Monza,1384,"1,312",Achievements
95,Flipias,Master Sorcerer,Quintera,1328,"1,312",Achievements
95,Koztos,Elite Knight,Monza,894,"1,312",Achievements
95,Mirotth,Elite Knight,Belobra,1993,"1,312",Achievements
95,Sir Iguela,Elite Knight,Bona,1102,"1,312",Achievements
95,Vannak Wrath,Elder Druid,Gentebra,1302,"1,312",Achievements
95,Watroba sorcerer,Master Sorcerer,Refugia,1115,"1,312",Achievements
103,Sweaty Kamish,Elite Knight,Secura,964,"1,311",Achievements
104,Aeranthir,Royal Paladin,Lobera,872,"1,310",Achievements
105,Exalted Herb,Royal Paladin,Yonabra,829,"1,309",Achievements
106,Dougmir,Elite Knight,Yonabra,818,"1,308",Achievements
107,Grisam,Elite Knight,Monstera,1394,"1,307",Achievements
107,Janni,Royal Paladin,Secura,1193,"1,307",Achievements
109,Abilidibob,Elite Knight,Descubra,731,"1,306",Achievements
109,Elite Diabeu,Elite Knight,Secura,713,"1,306",Achievements
109,Nasty Kasper,Royal Paladin,Antica,1262,"1,306",Achievements
109,Vituxo,Royal Paladin,Pacera,656,"1,306",Achievements
113,Cow Rods,Elder Druid,Gentebra,619,"1,305",Achievements
113,Edgar De'Furious,Elite Knight,Gentebra,727,"1,305",Achievements
113,Max Fleury,Elite Knight,Celebra,2105,"1,305",Achievements
113,Shayddex,Elite Knight,Oceanis,768,"1,305",Achievements
113,Vand Woodstock,Elder Druid,Inabra,1025,"1,305",Achievements
118,Dash Deluxe,Master Sorcerer,Secura,1660,"1,304",Achievements
118,Daso II,Royal Paladin,Antica,1618,"1,304",Achievements
