Rank,Name,Vocation,World,Level,Points,Category
1,Ragha Healer,Elder Druid,Kalibra,2010,"5,739",Goshnar's Taint
2,Brunin Himself,Elder Druid,Gentebra,1218,"4,853",Goshnar's Taint
3,Shilfner,Elder Druid,Inabra,1492,"4,843",Goshnar's Taint
4,Messi Siuuu,Elite Knight,Vunira,1490,"4,683",Goshnar's Taint
5,Zazulejo,Elder Druid,Collabra,1774,"4,253",Goshnar's Taint
6,Ameamerr,Master Sorcerer,Venebra,1767,"4,162",Goshnar's Taint
7,Magicallse,Master Sorcerer,Antica,1319,"4,137",Goshnar's Taint
8,Ezudux,Royal Paladin,Gentebra,2050,"4,133",Goshnar's Taint
9,Ragehazard,Elder Druid,Yonabra,1717,"3,700",Goshnar's Taint
10,Hitman Zor,Master Sorcerer,Celebra,1947,"3,672",Goshnar's Taint
11,Fenia Tegisa,Elder Druid,Celesta,1959,"3,535",Goshnar's Taint
12,Rubio Yamete Kudasai,Master Sorcerer,Issobra,1905,"3,508",Goshnar's Taint
13,Emperor Macaulay,Elder Druid,Gentebra,2158,"3,504",Goshnar's Taint
14,Shoxiez,Master Sorcerer,Kalibra,2150,"3,497",Goshnar's Taint
15,Jotazovisk,Royal Paladin,Collabra,1922,"3,470",Goshnar's Taint
16,Digo do Martelo,Elder Druid,Rasteibra,1664,"3,450",Goshnar's Taint
17,Markinhos fernandes,Royal Paladin,Yonabra,1646,"3,419",Goshnar's Taint
18,Bellizze The Tyrant,Master Sorcerer,Gentebra,1820,"3,416",Goshnar's Taint
19,Zainzao,Elder Druid,Descubra,2225,"3,402",Goshnar's Taint
20,Aery Wicca,Elder Druid,Nefera,1147,"3,358",Goshnar's Taint
21,Pedrao Geladeira,Elite Knight,Yonabra,1620,"3,262",Goshnar's Taint
22,Dolerozz,Elder Druid,Collabra,1590,"3,243",Goshnar's Taint
23,Agressive Kim Toxica,Elite Knight,Menera,1947,"3,204",Goshnar's Taint
24,Radizao,Elite Knight,Collabra,2195,"3,129",Goshnar's Taint
25,Zapecao,Master Sorcerer,Collabra,2193,"3,123",Goshnar's Taint
26,Kuubiq,Royal Paladin,Thyria,1996,"3,120",Goshnar's Taint
27,Sedik,Elder Druid,Antica,1730,"3,048",Goshnar's Taint
28,Thzkat Zedrin,Elder Druid,Ourobra,1650,"3,025",Goshnar's Taint
29,Tulio Barao,Elite Knight,Collabra,1972,"2,994",Goshnar's Taint
