Rank,Name,Vocation,World,Level,Skill Level,Category
1,Moe The Knight,Elite Knight,Nefera,582,142,Shielding
2,Astronis,Elite Knight,Astera,762,140,Shielding
3,Vomlet,Knight,Harmonia,11,135,Shielding
4,Titanicc,Elite Knight,Astera,810,134,Shielding
5,Actually,Elite Knight,Astera,50,133,Shielding
6,Instalek,Elite Knight,Secura,1104,132,Shielding
6,Lord Bidu Kina,Elite Knight,Descubra,1239,132,Shielding
6,Marotinho,Elite Knight,Yonabra,975,132,Shielding
6,Mary Ark,Elite Knight,Venebra,608,132,Shielding
6,Tialys,Elite Knight,Monza,182,132,Shielding
11,Barao Relampejante,Elite Knight,Yonabra,2049,131,Shielding
12,Cliany,Elite Knight,Secura,581,130,Shielding
12,Darkslayer Ronin,Elite Knight,Premia,1326,130,Shielding
12,Hensh,Elite Knight,Gentebra,1895,130,Shielding
12,Lipera Legend,Elite Knight,Refugia,617,130,Shielding
12,Machinbear,Elite Knight,Celebra,1143,130,Shielding
12,Sir Articus,Elite Knight,Astera,838,130,Shielding
18,Gilmax Knight,Elite Knight,Gladera,744,129,Shielding
18,Jackops,Elite Knight,Harmonia,746,129,Shielding
18,Lady Angeling,Elite Knight,Gentebra,534,129,Shielding
18,Mystic Videl,Elite Knight,Secura,673,129,Shielding
18,Rafaelkiller,Elite Knight,Gentebra,1906,129,Shielding
18,Shadow liger,Elite Knight,Pacera,707,129,Shielding
18,Sir Dragsalot,Elite Knight,Lobera,359,129,Shielding
18,Tottz,Elite Knight,Calmera,591,129,Shielding
18,Typha,Elite Knight,Astera,655,129,Shielding
27,Halloiv,Elite Knight,Gentebra,1495,128,Shielding
27,Ibixy,Elite Knight,Secura,762,128,Shielding
27,Kharsek,Elite Knight,Gladera,1994,128,Shielding
27,Lecter,Elite Knight,Inabra,1930,128,Shielding
27,Makayy,Elite Knight,Inabra,604,128,Shielding
27,Natarius Scotfield,Elite Knight,Astera,614,128,Shielding
27,Osmano,Elite Knight,Lobera,581,128,Shielding
27,Recollection,Knight,Venebra,14,128,Shielding
27,Reigrant Arcsteel,Elite Knight,Celebra,1220,128,Shielding
27,Sizz Lor,Knight,Ustebra,15,128,Shielding
27,Tawyrl,Knight,Kalibra,15,128,Shielding
27,Tyrind,Elite Knight,Wintera,676,128,Shielding
27,Yuri Jammy,Elite Knight,Havera,783,128,Shielding
40,Allskillsheep,Knight,Gentebra,13,127,Shielding
40,Boosterio,Elite Knight,Refugia,862,127,Shielding
40,Druida Joselito Lolz,Knight,Ustebra,11,127,Shielding
40,Filusia,Knight,Monza,708,127,Shielding
40,Flanbers Penn,Royal Paladin,Yonabra,1866,127,Shielding
40,Gaxizzy,Elite Knight,Monza,1208,127,Shielding
40,General George Washington,Elite Knight,Yovera,117,127,Shielding
40,Knight Sunblade,Elite Knight,Pacera,512,127,Shielding
40,Lipssky,Elite Knight,Refugia,1782,127,Shielding
40,Lord Fearip,Elite Knight,Gladera,976,127,Shielding
40,Maurolkit,Elite Knight,Secura,1942,127,Shielding
40,Mo rgu,Elite Knight,Monza,2272,127,Shielding
40,Monkina,Elite Knight,Celebra,543,127,Shielding
40,Passion Killer,Royal Paladin,Gladera,437,127,Shielding
40,Sanguineus,Elite Knight,Blumera,195,127,Shielding
40,Serpantess,Elite Knight,Refugia,991,127,Shielding
40,Thargon Nerana,Royal Paladin,Bona,433,127,Shielding
40,Thiaguinho Cesar,Knight,Etebra,16,127,Shielding
40,Thor Dust,Knight,Yovera,15,127,Shielding
40,Zitob,Elite Knight,Monza,1157,127,Shielding
40,Zulus Schaka,Elite Knight,Calmera,899,127,Shielding
61,Animus Necandi,Elite Knight,Quelibra,749,126,Shielding
61,Apolo Beoni,Elite Knight,Belobra,339,126,Shielding
61,Awf,Elite Knight,Secura,1440,126,Shielding
61,Block,Elite Knight,Collabra,348,126,Shielding
61,Bodzio spoko,Elite Knight,Monza,900,126,Shielding
61,Brown Jantar,Elite Knight,Celesta,1035,126,Shielding
61,Byron McAllister,Elite Knight,Antica,614,126,Shielding
61,Cellus,Elite Knight,Menera,982,126,Shielding
61,Coyote Mui Male,Elite Knight,Bona,525,126,Shielding
61,Deadmani,Elite Knight,Thyria,1994,126,Shielding
61,Delita Heirall,Elite Knight,Gladera,915,126,Shielding
61,Diigoo,Paladin,Peloria,410,126,Shielding
61,Eviksin of Sacrelight,Royal Paladin,Luminera,365,126,Shielding
61,Extraterrestre,Elite Knight,Kalibra,682,126,Shielding
61,Galll,Elite Knight,Gentebra,2676,126,Shielding
61,Iskizytu,Elite Knight,Pacera,1218,126,Shielding
61,Juan Rood,Elite Knight,Refugia,737,126,Shielding
61,King Infinytum,Elite Knight,Yonabra,2224,126,Shielding
61,Knight Do Sangue,Elite Knight,Wintera,257,126,Shielding
61,Knight Zudano,Elite Knight,Monza,561,126,Shielding
61,Lady Chylka,Elite Knight,Harmonia,929,126,Shielding
61,Legorn Sunrise,Elite Knight,Antica,633,126,Shielding
61,Loublie,Elite Knight,Pacera,429,126,Shielding
61,Lucifer Rotheart,Elite Knight,Menera,606,126,Shielding
61,Marwin Devile,Royal Paladin,Celebra,1259,126,Shielding
61,Maytzuk,Knight,Celebra,202,126,Shielding
61,Meniia,Elite Knight,Harmonia,818,126,Shielding
61,Mia Moonshine,Royal Paladin,Epoca,1361,126,Shielding
61,Mini Gladiator,Knight,Nevia,10,126,Shielding
61,Motiro,Elite Knight,Serdebra,1320,126,Shielding
61,Nathan Orion,Elite Knight,Havera,305,126,Shielding
61,Ojciec Old Maza,Elite Knight,Refugia,684,126,Shielding
