Rank,Name,Vocation,World,Level,Points,Category
1,Lairuf,Elder Druid,Refugia,1572,"26,724",Charm Points
2,Mirotth,Elite Knight,Belobra,2001,"26,574",Charm Points
3,Bambaryla Witek,Elder Druid,Thyria,1943,"26,524",Charm Points
3,Gata Vitoria,Elite Knight,Yonabra,1422,"26,524",Charm Points
5,Caaok,Royal Paladin,Belobra,2126,"26,474",Charm Points
6,Mi Sioo,Royal Paladin,Harmonia,1906,"26,424",Charm Points
7,Alpha Charly,Royal Paladin,Gentebra,2043,"26,224",Charm Points
7,Luconn,Elite Knight,Secura,1181,"26,224",Charm Points
7,Old Noe,Royal Paladin,Secura,1964,"26,224",Charm Points
7,Royal Kado,Royal Paladin,Secura,1264,"26,224",Charm Points
11,Alpha Charlyne,Exalted Monk,Gentebra,713,"26,219",Charm Points
12,Gakild,Royal Paladin,Yonabra,1630,"26,174",Charm Points
13,Dreams,Elder Druid,Yonabra,1363,"26,124",Charm Points
13,Myrkz,Royal Paladin,Lobera,1543,"26,124",Charm Points
15,Poppel the knight,Elite Knight,Peloria,1428,"26,074",Charm Points
15,Roffa The King,Elite Knight,Vunira,1601,"26,074",Charm Points
17,Aruarian Druid,Elder Druid,Menera,1468,"26,024",Charm Points
17,Axy,Elder Druid,Yonabra,1384,"26,024",Charm Points
17,Knightis,Elite Knight,Karmeya,1210,"26,024",Charm Points
17,Mathias Bynens,Royal Paladin,Vunira,1444,"26,024",Charm Points
21,Fanas,Elder Druid,Lobera,1477,"26,009",Charm Points
22,Max Fleury,Elite Knight,Celebra,2116,"25,999",Charm Points
23,Cybres Jack,Master Sorcerer,Celebra,1671,"25,984",Charm Points
23,Sage of Ice,Elder Druid,Belobra,1017,"25,984",Charm Points
25,Tarmon Gai Don,Elder Druid,Peloria,1310,"25,924",Charm Points
26,Niquit,Master Sorcerer,Antica,1739,"25,909",Charm Points
27,Danan the shihan,Elite Knight,Quintera,1681,"25,834",Charm Points
28,Czikita,Elder Druid,Secura,2069,"25,739",Charm Points
