Rank,Name,Vocation,World,Level,Points,WorldType
1,Dudopix Worldwide,Elite Knight,Ferobra,2386,"225,921,845,975",Open PvP
2,Bruneli Wayne,Elite Knight,Serdebra,2357,"217,930,098,071",Open PvP
3,Bomba Chapeleiro,Elite Knight,Honbra,2340,"213,035,880,817",Open PvP
4,Alchemistzin,Elite Knight,Quelibra,2288,"199,139,077,457",Open PvP
5,Knighttt Poderoso,Elite Knight,Rasteibra,2203,"177,884,931,867",Open PvP
6,Conde Danimax,Elite Knight,Inabra,2158,"167,032,315,255",Open PvP
7,Pedrin Orangepodi,Elite Knight,Jadebra,2129,"160,459,051,178",Open PvP
8,Ragnarr Vilao,Elite Knight,Honbra,2108,"155,687,183,890",Open PvP
9,Soiji,Elite Knight,Inabra,2080,"149,756,525,220",Open PvP
10,Chris Donhodo Ombra,Elite Knight,Ombra,2066,"146,558,394,853",Open PvP
11,Destructive Kronun,Elite Knight,Talera,2060,"145,326,547,251",Open PvP
12,Kallashy,Elite Knight,Honbra,2059,"145,222,836,513",Open PvP
13,Zezinho Eurofeer,Elite Knight,Ourobra,2044,"142,040,539,525",Open PvP
14,Magnifik Danytank,Elite Knight,Quelibra,2033,"139,674,300,672",Open PvP
15,Amora Enterprise,Elite Knight,Ourobra,2031,"139,286,525,689",Open PvP
16,Exorinho,Elite Knight,Thyria,2016,"136,342,875,177",Open PvP
17,Dudu Stonecutter,Elite Knight,Ombra,1999,"132,769,426,188",Open PvP
18,Marco letta,Elite Knight,Ourobra,1996,"132,256,953,770",Open PvP
19,Deadmani,Elite Knight,Thyria,1994,"131,783,043,081",Open PvP
20,Jand Supremoo,Elite Knight,Unebra,1991,"131,241,478,827",Open PvP
21,Toxic Kleine Esecee,Elite Knight,Havera,1963,"125,874,816,970",Open PvP
22,Munhoz Holdfast,Elite Knight,Ferobra,1956,"124,375,111,565",Open PvP
23,Zmek,Elite Knight,Antica,1943,"122,037,502,610",Open PvP
24,Lecter,Elite Knight,Inabra,1930,"119,592,322,005",Open PvP
25,Almom,Elite Knight,Inabra,1907,"115,283,192,844",Open PvP
26,Kiperek,Elite Knight,Premia,1907,"115,250,835,515",Open PvP
27,Cesargxz,Elite Knight,Talera,1905,"114,984,161,636",Open PvP
28,Anita Supreme Emex,Elite Knight,Havera,1891,"112,426,015,668",Open PvP
29,Hellz Negb,Elite Knight,Wintera,1885,"111,370,556,085",Open PvP
30,Chris Subownerdo Gbe,Elite Knight,Ombra,1878,"110,134,086,991",Open PvP
31,Pdois Evoluido,Elite Knight,Jadebra,1858,"106,557,790,386",Open PvP
32,Big Boss Revival,Elite Knight,Premia,1846,"104,663,204,661",Open PvP
33,Bossprime,Elite Knight,Antica,1841,"103,726,811,847",Open PvP
34,Pathetique,Elite Knight,Vunira,1839,"103,402,714,473",Open PvP
35,Kimbow Thor,Elite Knight,Ombra,1834,"102,605,867,174",Open PvP
36,Lichtsz Rindodoboleto,Elite Knight,Inabra,1830,"101,870,222,320",Open PvP
37,Skoolls,Elite Knight,Jadebra,1828,"101,627,020,025",Open PvP
38,Tintin Hulk,Elite Knight,Rasteibra,1826,"101,213,337,304",Open PvP
39,Zezinho Enterprise,Elite Knight,Ourobra,1818,"99,819,817,340",Open PvP
40,Orzack,Elite Knight,Quelibra,1803,"97,402,658,507",Open PvP
41,Rowdz,Elite Knight,Quelibra,1799,"96,862,386,074",Open PvP
42,Coxa Metanol,Elite Knight,Rasteibra,1791,"95,532,958,812",Open PvP
43,Tonim Tank,Elite Knight,Jadebra,1790,"95,379,124,733",Open PvP
44,Highflxyerk,Elite Knight,Quidera,1785,"94,556,873,900",Open PvP
45,Bar,Elite Knight,Quidera,1780,"93,681,536,338",Open PvP
46,Ekforsale,Elite Knight,Quelibra,1769,"92,072,553,043",Open PvP
47,Geramoo,Elite Knight,Inabra,1768,"91,800,455,597",Open PvP
48,Abs Lilozin,Elite Knight,Rasteibra,1766,"91,486,331,406",Open PvP
49,Gui Fallout,Elite Knight,Ourobra,1760,"90,663,115,427",Open PvP
50,Vexcraw,Elite Knight,Jadebra,1754,"89,751,029,920",Open PvP
51,Orle Gniazdo,Elite Knight,Antica,1753,"89,538,589,748",Open PvP
52,Rowen,Elite Knight,Solidera,1750,"89,099,266,477",Open PvP
53,Mathxd,Elite Knight,Rasteibra,1746,"88,548,968,410",Open PvP
54,Naillowzin,Elite Knight,Inabra,1731,"86,225,644,522",Open PvP
55,Piano Paeveio,Elite Knight,Unebra,1730,"86,091,824,179",Open PvP
56,Hintarus Rei Calvo,Elite Knight,Serdebra,1730,"86,037,187,324",Open PvP
57,Gragao Evoluido,Elite Knight,Jadebra,1722,"84,954,362,773",Open PvP
58,Thay El Patron,Elite Knight,Solidera,1722,"84,816,520,736",Open PvP
59,Kamiry,Elite Knight,Ourobra,1715,"83,907,346,349",Open PvP
60,Elmagnifiko caballerodany,Elite Knight,Inabra,1711,"83,258,898,955",Open PvP
61,Dee Liife Snake,Elite Knight,Inabra,1706,"82,529,311,850",Open PvP
62,Hwpato,Elite Knight,Talera,1704,"82,282,736,453",Open PvP
63,Agiotales,Elite Knight,Rasteibra,1702,"81,964,996,387",Open PvP
64,Jhonek,Elite Knight,Ferobra,1701,"81,811,274,580",Open PvP
65,Aler Tius,Elite Knight,Solidera,1700,"81,657,981,779",Open PvP
66,Zezinho Qrcode Infinito,Elite Knight,Ourobra,1694,"80,869,869,839",Open PvP
67,Rudogrzywy,Elite Knight,Thyria,1690,"80,184,985,700",Open PvP
68,Knight of Rafael,Elite Knight,Quelibra,1687,"79,872,583,009",Open PvP
69,Danan the shihan,Elite Knight,Quintera,1681,"78,938,188,590",Open PvP
70,Feh Tryhard,Elite Knight,Serdebra,1679,"78,702,823,029",Open PvP
71,Dudopix Inc,Elite Knight,Quelibra,1678,"78,555,342,900",Open PvP
72,Moon Knighty,Elite Knight,Honbra,1669,"77,341,060,867",Open PvP
73,Alvsrodrigo Neutro,Elite Knight,Rasteibra,1669,"77,304,102,196",Open PvP
74,Alphahorcrux,Elite Knight,Havera,1653,"75,014,955,050",Open PvP
75,Pancholina Emex,Elite Knight,Solidera,1650,"74,713,739,995",Open PvP
76,Nyge,Elite Knight,Antica,1647,"74,254,743,229",Open PvP
77,Tomek Bloczy,Elite Knight,Xyla,1639,"73,196,808,502",Open PvP
78,Ti to Goexp,Elite Knight,Serdebra,1632,"72,209,633,665",Open PvP
79,Magnifik Ekdany,Elite Knight,Inabra,1631,"72,072,423,459",Open PvP
80,Knochi,Elite Knight,Antica,1630,"71,949,788,945",Open PvP
81,Duuuuh,Elite Knight,Inabra,1628,"71,752,017,630",Open PvP
82,Mikey olo,Elite Knight,Vunira,1627,"71,596,429,449",Open PvP
83,Adrinhio,Elite Knight,Thyria,1624,"71,158,224,364",Open PvP
84,Specialtyz,Elite Knight,Ferobra,1622,"70,877,024,764",Open PvP
85,Remek Ajan,Elite Knight,Peloria,1618,"70,393,025,754",Open PvP
86,Necro Dragonheart,Elite Knight,Lobera,1616,"70,141,872,636",Open PvP
87,Seleskva Zedrin,Elite Knight,Ourobra,1613,"69,729,072,850",Open PvP
88,Carolich,Elite Knight,Havera,1602,"68,295,384,752",Open PvP
89,Roffa The King,Elite Knight,Vunira,1601,"68,186,489,865",Open PvP
90,Sheik Guii,Elite Knight,Quelibra,1600,"68,070,895,908",Open PvP
91,Leechiano,Elite Knight,Lobera,1595,"67,411,309,562",Open PvP
92,Raul Locomia,Elite Knight,Quelibra,1594,"67,275,158,260",Open PvP
93,Kel,Elite Knight,Rasteibra,1594,"67,249,172,200",Open PvP
94,Dede Tiranit,Elite Knight,Ourobra,1593,"67,154,541,817",Open PvP
95,Joek,Elite Knight,Thyria,1592,"67,065,206,201",Open PvP
96,Arcy Seba,Elite Knight,Serdebra,1589,"66,629,616,977",Open PvP
97,Baked Jerryy,Elite Knight,Premia,1587,"66,397,609,984",Open PvP
98,Spykon,Elite Knight,Serdebra,1581,"65,677,960,696",Open PvP
99,Axewinng,Elite Knight,Quelibra,1574,"64,866,165,708",Open PvP
100,Dobid Elve,Elite Knight,Jadebra,1573,"64,708,288,376",Open PvP
101,Paweel Ek,Elite Knight,Xyla,1568,"64,087,871,951",Open PvP
102,Knalha Aposentado,Elite Knight,Jadebra,1563,"63,493,331,799",Open PvP
103,Tekkoo Boladaoo,Elite Knight,Quelibra,1554,"62,346,938,481",Open PvP
104,Janeer,Elite Knight,Quintera,1553,"62,226,301,940",Open PvP
